Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
2.50923	IE-C003	0	1_480	26026358	6	2009	
2.51018	IE-C004	0	1_480	26194270	6	2007	
2.531	IE-C002	0	1_480	29853764	6	2007	
2.531	IE-C005	0	1_480	29853764	6	2007	
2.53123	ES-C001	0	1_480	26026358	6	2009	
2.54167	ES-C005	0	1_480	27808986	6	2006	
2.54718	ES-C003	0	1_480	28392392	6	2007	
2.54862	ES-C004	0	1_480	28795120	6	2004	
2.55462	IE-C001	0	1_480	34701812	6	2004	
2.57862	ES-C006	0	1_480	34701812	6	2004	
2.58362	IE-C006	0	1_480	34701812	6	2004	
2.58962	ES-C002	0	1_480	34701812	6	2004	
4.50923	IE-C003	1	3_1080	27024730	12	0	
4.51018	IE-C004	1	3_1080	26971216	12	0	
4.531	IE-C002	1	3_1080	27024730	12	0	
4.531	IE-C005	1	3_1080	27024730	12	0	
4.53123	ES-C001	1	3_1080	27295520	12	0	
4.54167	ES-C005	1	3_1080	27295520	12	0	
4.54718	ES-C003	1	3_1080	27295520	12	0	
4.54862	ES-C004	1	3_1080	27295520	12	0	
4.55462	IE-C001	1	3_1080	27078458	12	0	
4.57862	ES-C006	1	3_1080	27460612	12	0	
4.58362	IE-C006	1	3_1080	28674662	12	0	
4.58962	ES-C002	1	3_1080	28199718	12	0	
6.50923	IE-C003	2	3_1080	27240928	18	0	
6.51018	IE-C004	2	3_1080	27295520	18	0	
6.531	IE-C002	2	3_1080	27295520	18	0	
6.531	IE-C005	2	3_1080	27295520	18	0	
6.53123	ES-C001	2	3_1080	27350330	18	0	
6.54167	ES-C005	2	3_1080	27405360	18	0	
6.54718	ES-C003	2	3_1080	27405360	18	0	
6.54862	ES-C004	2	3_1080	27350330	18	0	
6.55462	IE-C001	2	3_1080	27295520	18	0	
6.57862	ES-C006	2	3_1080	27405360	18	0	
6.58362	IE-C006	2	3_1080	27240928	18	0	
6.58962	ES-C002	2	3_1080	27405360	18	0	
8.50923	IE-C003	3	3_1080	26759262	24	0	
8.51018	IE-C004	3	3_1080	26759262	24	0	
8.531	IE-C002	3	3_1080	26759262	24	0	
8.531	IE-C005	3	3_1080	26706792	24	0	
8.53123	ES-C001	3	3_1080	27350330	24	0	
8.54167	ES-C005	3	3_1080	27405360	24	0	
8.54718	ES-C003	3	3_1080	27405360	24	0	
8.54862	ES-C004	3	3_1080	27405360	24	0	
8.55462	IE-C001	3	3_1080	26759262	24	0	
8.57862	ES-C006	3	3_1080	27405360	24	0	
8.58362	IE-C006	3	3_1080	26759262	24	0	
8.58962	ES-C002	3	3_1080	27405360	24	0	
10.5092	IE-C003	4	3_1080	27460612	28	0	
10.5102	IE-C004	4	3_1080	27516088	28	0	
10.531	IE-C002	4	3_1080	27516088	28	0	
10.531	IE-C005	4	3_1080	27571790	28	0	
10.5312	ES-C001	4	3_1080	27405360	28	0	
10.5417	ES-C005	4	3_1080	27350330	28	0	
10.5472	ES-C003	4	3_1080	27405360	28	0	
10.5486	ES-C004	4	3_1080	27405360	28	0	
10.5546	IE-C001	4	3_1080	27516088	28	0	
10.5786	ES-C006	4	3_1080	27405360	28	0	
10.5836	IE-C006	4	3_1080	27516088	28	0	
10.5896	ES-C002	4	3_1080	27350330	28	0	
12.5092	IE-C003	5	3_1080	26971216	28	0	
12.5102	IE-C004	5	3_1080	26917914	28	0	
12.531	IE-C002	5	3_1080	26917914	28	0	
12.531	IE-C005	5	3_1080	26917914	28	0	
12.5312	ES-C001	5	3_1080	27516088	28	0	
12.5417	ES-C005	5	3_1080	27460612	28	0	
12.5472	ES-C003	5	3_1080	27460612	28	0	
12.5486	ES-C004	5	3_1080	27516088	28	0	
12.5546	IE-C001	5	3_1080	26917914	28	0	
12.5786	ES-C006	5	3_1080	27460612	28	0	
12.5836	IE-C006	5	3_1080	26971216	28	0	
12.5896	ES-C002	5	3_1080	27516088	28	0	
14.5092	IE-C003	6	3_1080	27405360	28	0	
14.5102	IE-C004	6	3_1080	27405360	28	0	
14.531	IE-C002	6	3_1080	27405360	28	0	
14.531	IE-C005	6	3_1080	27405360	28	0	
14.5312	ES-C001	6	3_1080	27024730	28	0	
14.5417	ES-C005	6	3_1080	27024730	28	0	
14.5472	ES-C003	6	3_1080	27024730	28	0	
14.5486	ES-C004	6	3_1080	27024730	28	0	
14.5546	IE-C001	6	3_1080	27460612	28	0	
14.5786	ES-C006	6	3_1080	27024730	28	0	
14.5836	IE-C006	6	3_1080	27405360	28	0	
14.5896	ES-C002	6	3_1080	27024730	28	0	
16.5092	IE-C003	7	3_1080	27240928	28	0	
16.5102	IE-C004	7	3_1080	27240928	28	0	
16.531	IE-C002	7	3_1080	27240928	28	0	
16.531	IE-C005	7	3_1080	27240928	28	0	
16.5312	ES-C001	7	3_1080	27460612	28	0	
16.5417	ES-C005	7	3_1080	27516088	28	0	
16.5472	ES-C003	7	3_1080	27460612	28	0	
16.5486	ES-C004	7	3_1080	27460612	28	0	
16.5546	IE-C001	7	3_1080	27240928	28	0	
16.5786	ES-C006	7	3_1080	27460612	28	0	
16.5836	IE-C006	7	3_1080	27240928	28	0	
16.5896	ES-C002	7	3_1080	27516088	28	0	
18.5092	IE-C003	8	3_1080	27460612	28	0	
18.5102	IE-C004	8	3_1080	27460612	28	0	
18.531	IE-C002	8	3_1080	27460612	28	0	
18.531	IE-C005	8	3_1080	27460612	28	0	
