Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
2.53723	IE-C005	0	1_480	14346686	4	2009	
2.54323	IE-C006	0	1_480	14872205	4	2009	
2.55723	ES-C005	0	1_480	15437688	4	2009	
2.55967	ES-C004	0	1_480	15555985	4	2006	
2.57862	IE-C002	0	1_480	16639803	4	2004	
2.57862	IE-C004	0	1_480	16571886	4	2004	
2.58018	ES-C003	0	1_480	16917134	4	2007	
2.58062	ES-C002	0	1_480	16777322	4	2004	
2.58162	IE-C001	0	1_480	16777322	4	2004	
2.58362	IE-C003	0	1_480	16987916	4	2004	
2.58462	ES-C001	0	1_480	17059294	4	2004	
2.60062	ES-C006	0	1_480	18288792	4	2004	
4.53723	IE-C005	1	2_720	14469399	6	0	
4.54323	IE-C006	1	2_720	14469399	6	0	
4.55723	ES-C005	1	2_720	14499049	6	0	
4.55967	ES-C004	1	2_720	14499049	6	0	
4.57862	IE-C002	1	2_720	14469399	6	0	
4.57862	IE-C004	1	2_720	14469399	6	0	
4.58018	ES-C003	1	2_720	14499049	6	0	
4.58062	ES-C002	1	2_720	14499049	6	0	
4.58162	IE-C001	1	2_720	14469399	6	0	
4.58362	IE-C003	1	2_720	14469399	6	0	
4.58462	ES-C001	1	2_720	14499049	6	0	
4.60062	ES-C006	1	2_720	14499049	6	0	
6.53723	IE-C005	2	3_1080	14788777	8	0	
6.54323	IE-C006	2	3_1080	14788777	8	0	
6.55723	ES-C005	2	3_1080	14804852	8	0	
6.55967	ES-C004	2	3_1080	14788777	8	0	
6.57862	IE-C002	2	3_1080	14788777	8	0	
6.57862	IE-C004	2	3_1080	14788777	8	0	
6.58018	ES-C003	2	3_1080	14804852	8	0	
6.58062	ES-C002	2	3_1080	14804852	8	0	
6.58162	IE-C001	2	3_1080	14788777	8	0	
6.58362	IE-C003	2	3_1080	14788777	8	0	
6.58462	ES-C001	2	3_1080	14788777	8	0	
6.60062	ES-C006	2	3_1080	14804852	8	0	
8.53723	IE-C005	3	3_1080	14902039	10	0	
8.54323	IE-C006	3	3_1080	14902039	10	0	
8.55723	ES-C005	3	3_1080	14869502	10	0	
8.55967	ES-C004	3	3_1080	14885753	10	0	
8.57862	IE-C002	3	3_1080	14902039	10	0	
8.57862	IE-C004	3	3_1080	14902039	10	0	
8.58018	ES-C003	3	3_1080	14869502	10	0	
8.58062	ES-C002	3	3_1080	14869502	10	0	
8.58162	IE-C001	3	3_1080	14902039	10	0	
8.58362	IE-C003	3	3_1080	14902039	10	0	
8.58462	ES-C001	3	3_1080	14869502	10	0	
8.60062	ES-C006	3	3_1080	14869502	10	0	
10.5372	IE-C005	4	3_1080	14661425	12	0	
10.5432	IE-C006	4	3_1080	14661425	12	0	
10.5572	ES-C005	4	3_1080	14661425	12	0	
10.5597	ES-C004	4	3_1080	14677224	12	0	
10.5786	IE-C002	4	3_1080	14661425	12	0	
10.5786	IE-C004	4	3_1080	14661425	12	0	
10.5802	ES-C003	4	3_1080	14677224	12	0	
10.5806	ES-C002	4	3_1080	14661425	12	0	
10.5816	IE-C001	4	3_1080	14661425	12	0	
10.5836	IE-C003	4	3_1080	14661425	12	0	
10.5846	ES-C001	4	3_1080	14677224	12	0	
10.6006	ES-C006	4	3_1080	14677224	12	0	
12.5372	IE-C005	5	3_1080	14693057	16	0	
12.5432	IE-C006	5	3_1080	14693057	16	0	
12.5572	ES-C005	5	3_1080	14724826	16	0	
12.5597	ES-C004	5	3_1080	14708924	16	0	
12.5786	IE-C002	5	3_1080	14693057	16	0	
12.5786	IE-C004	5	3_1080	14693057	16	0	
12.5802	ES-C003	5	3_1080	14724826	16	0	
12.5806	ES-C002	5	3_1080	14724826	16	0	
12.5816	IE-C001	5	3_1080	14693057	16	0	
12.5836	IE-C003	5	3_1080	14693057	16	0	
12.5846	ES-C001	5	3_1080	14708924	16	0	
12.6006	ES-C006	5	3_1080	14724826	16	0	
14.5372	IE-C005	6	3_1080	14708924	18	0	
14.5432	IE-C006	6	3_1080	14708924	18	0	
14.5572	ES-C005	6	3_1080	14693057	18	0	
14.5597	ES-C004	6	3_1080	14693057	18	0	
14.5786	IE-C002	6	3_1080	14708924	18	0	
14.5786	IE-C004	6	3_1080	14708924	18	0	
14.5802	ES-C003	6	3_1080	14693057	18	0	
14.5806	ES-C002	6	3_1080	14693057	18	0	
14.5816	IE-C001	6	3_1080	14708924	18	0	
14.5836	IE-C003	6	3_1080	14708924	18	0	
14.5846	ES-C001	6	3_1080	14693057	18	0	
14.6006	ES-C006	6	3_1080	14693057	18	0	
16.5372	IE-C005	7	3_1080	14677224	20	0	
16.5432	IE-C006	7	3_1080	14677224	20	0	
16.5572	ES-C005	7	3_1080	14677224	20	0	
16.5597	ES-C004	7	3_1080	14677224	20	0	
16.5786	IE-C002	7	3_1080	14677224	20	0	
16.5786	IE-C004	7	3_1080	14677224	20	0	
16.5802	ES-C003	7	3_1080	14677224	20	0	
16.5806	ES-C002	7	3_1080	14677224	20	0	
16.5816	IE-C001	7	3_1080	14677224	20	0	
16.5836	IE-C003	7	3_1080	14677224	20	0	
16.5846	ES-C001	7	3_1080	14677224	20	0	
16.6006	ES-C006	7	3_1080	14677224	20	0	
18.5372	IE-C005	8	3_1080	14772738	22	0	
18.5432	IE-C006	8	3_1080	14772738	22	0	
18.5572	ES-C005	8	3_1080	14788777	22	0	
18.5597	ES-C004	8	3_1080	14788777	22	0	
18.5786	IE-C002	8	3_1080	14772738	22	0	
18.5786	IE-C004	8	3_1080	14772738	22	0	
18.5802	ES-C003	8	3_1080	14788777	22	0	
18.5806	ES-C002	8	3_1080	14788777	22	0	
18.5816	IE-C001	8	3_1080	14772738	22	0	
18.5836	IE-C003	8	3_1080	14772738	22	0	
18.5846	ES-C001	8	3_1080	14788777	22	0	
18.6006	ES-C006	8	3_1080	14788777	22	0	
20.5372	IE-C005	9	3_1080	14772738	24	0	
20.5432	IE-C006	9	3_1080	14772738	24	0	
20.5572	ES-C005	9	3_1080	14740762	24	0	
20.5597	ES-C004	9	3_1080	14756732	24	0	
20.5786	IE-C002	9	3_1080	14772738	24	0	
20.5786	IE-C004	9	3_1080	14772738	24	0	
20.5802	ES-C003	9	3_1080	14740762	24	0	
20.5806	ES-C002	9	3_1080	14740762	24	0	
20.5816	IE-C001	9	3_1080	14772738	24	0	
20.5836	IE-C003	9	3_1080	14772738	24	0	
20.5846	ES-C001	9	3_1080	14740762	24	0	
20.6006	ES-C006	9	3_1080	14740762	24	0	
22.5372	IE-C005	10	3_1080	14629929	26	0	
22.5432	IE-C006	10	3_1080	14629929	26	0	
22.5572	ES-C005	10	3_1080	14645660	26	0	
22.5597	ES-C004	10	3_1080	14645660	26	0	
22.5786	IE-C002	10	3_1080	14629929	26	0	
22.5786	IE-C004	10	3_1080	14629929	26	0	
22.5802	ES-C003	10	3_1080	14645660	26	0	
22.5806	ES-C002	10	3_1080	14645660	26	0	
22.5816	IE-C001	10	3_1080	14629929	26	0	
22.5836	IE-C003	10	3_1080	14629929	26	0	
22.5846	ES-C001	10	3_1080	14645660	26	0	
22.6006	ES-C006	10	3_1080	14645660	26	0	
