Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
2.52923	ES-C005	0	1_480	16708280	4	2009	
2.54223	IE-C003	0	1_480	17203864	4	2009	
2.54223	IE-C001	0	1_480	17576242	4	2007	
2.55262	IE-C004	0	1_480	18206780	4	2004	
2.55923	ES-C003	0	1_480	19614068	4	2009	
2.55962	ES-C004	0	1_480	18972486	4	2004	
2.56462	ES-C006	0	1_480	19242236	4	2004	
2.57262	ES-C001	0	1_480	18710194	4	2004	
2.57662	IE-C006	0	1_480	17131274	4	2004	
2.57862	ES-C002	0	1_480	15798101	4	2004	
2.57967	IE-C005	0	1_480	14926882	4	2006	
2.58362	IE-C002	0	1_480	14346686	4	2004	
4.52923	ES-C005	1	2_720	11021084	6	0	
4.54223	IE-C003	1	2_720	17299600	6	0	
4.54223	IE-C001	1	2_720	17470460	6	0	
4.55262	IE-C004	1	2_720	17427428	6	0	
4.55923	ES-C003	1	2_720	17822508	8	0	
4.55962	ES-C004	1	2_720	17867516	8	0	
4.56462	ES-C006	1	2_720	18049836	8	0	
4.57262	ES-C001	1	2_720	18189038	8	0	
4.57662	IE-C006	1	2_720	17049484	6	0	
4.57862	ES-C002	1	2_720	9895855	6	0	
4.57967	IE-C005	1	2_720	12369818	4	0	
4.58362	IE-C002	1	2_720	12771726	4	0	
6.52923	ES-C005	2	2_720	9359175	8	0	
6.54223	IE-C003	2	3_1080	16195558	6	0	
6.54223	IE-C001	2	3_1080	15967719	8	0	
6.55262	IE-C004	2	3_1080	16005246	8	0	
6.55923	ES-C003	2	3_1080	17395228	12	0	
6.55962	ES-C004	2	3_1080	17068250	12	0	
6.56462	ES-C006	2	3_1080	17439774	12	0	
6.57262	ES-C001	2	3_1080	17350910	12	0	
6.57662	IE-C006	2	3_1080	15967719	6	0	
6.57862	ES-C002	2	2_720	9177089	8	0	
6.57967	IE-C005	2	3_1080	12161129	6	0	
6.58362	IE-C002	2	3_1080	12107079	6	0	
8.52923	ES-C005	3	2_720	9759360	10	0	
8.54223	IE-C003	3	3_1080	14173220	8	0	
8.54223	IE-C001	3	3_1080	14837107	8	0	
8.55262	IE-C004	3	3_1080	14740762	8	0	
8.55923	ES-C003	3	3_1080	16773970	14	0	
8.55962	ES-C004	3	3_1080	17046888	14	0	
8.56462	ES-C006	3	3_1080	16794654	14	0	
8.57262	ES-C001	3	3_1080	17154236	14	0	
8.57662	IE-C006	3	3_1080	12825296	8	0	
8.57862	ES-C002	3	2_720	9626580	10	0	
8.57967	IE-C005	3	3_1080	11947775	8	0	
8.58362	IE-C002	3	3_1080	11937304	8	0	
10.5292	ES-C005	4	2_720	9273311	12	0	
10.5422	IE-C003	4	3_1080	10365650	8	0	
10.5422	IE-C001	4	3_1080	12518809	10	0	
10.5526	IE-C004	4	3_1080	12518809	10	0	
10.5592	ES-C003	4	3_1080	17306816	18	0	
10.5596	ES-C004	4	3_1080	17175868	18	0	
10.5646	ES-C006	4	3_1080	17439774	18	0	
10.5726	ES-C001	4	3_1080	17175868	18	0	
10.5766	IE-C006	4	3_1080	9715024	8	0	
10.5786	ES-C002	4	2_720	10180627	12	0	
10.5797	IE-C005	4	3_1080	12000409	10	0	
10.5836	IE-C002	4	3_1080	12000409	10	0	
12.5292	ES-C005	5	3_1080	11503770	14	0	
12.5422	IE-C003	5	3_1080	9820089	10	0	
12.5422	IE-C001	5	3_1080	12096327	12	0	
12.5526	IE-C004	5	3_1080	12074879	12	0	
12.5592	ES-C003	5	3_1080	17734980	22	0	
12.5596	ES-C004	5	3_1080	17643088	22	0	
12.5646	ES-C006	5	3_1080	17574792	22	0	
12.5726	ES-C001	5	3_1080	17851198	22	0	
12.5766	IE-C006	5	3_1080	10111703	10	0	
12.5786	ES-C002	5	3_1080	12337377	14	0	
12.5797	IE-C005	5	3_1080	12634939	12	0	
12.5836	IE-C002	5	3_1080	12588229	12	0	
14.5292	ES-C005	6	3_1080	12922641	16	0	
14.5422	IE-C003	6	3_1080	11937304	10	0	
14.5422	IE-C001	6	3_1080	12032212	14	0	
14.5526	IE-C004	6	3_1080	12000409	14	0	
14.5592	ES-C003	6	3_1080	19103036	26	0	
14.5596	ES-C004	6	3_1080	19129866	26	0	
14.5646	ES-C006	6	3_1080	19103036	26	0	
14.5726	ES-C001	6	3_1080	19076280	26	0	
14.5766	IE-C006	6	3_1080	13033937	10	0	
14.5786	ES-C002	6	3_1080	12934914	16	0	
14.5797	IE-C005	6	3_1080	14129112	12	0	
14.5836	IE-C002	6	3_1080	14173220	12	0	
16.5292	ES-C005	7	3_1080	12861628	16	0	
16.5422	IE-C003	7	3_1080	12971870	12	0	
16.5422	IE-C001	7	3_1080	11474696	14	0	
16.5526	IE-C004	7	3_1080	11572187	14	0	
16.5592	ES-C003	7	3_1080	19292442	28	0	
16.5596	ES-C004	7	3_1080	19457806	28	0	
16.5646	ES-C006	7	3_1080	19319808	28	0	
16.5726	ES-C001	7	3_1080	19292442	28	0	
16.5766	IE-C006	7	3_1080	12658424	10	0	
16.5786	ES-C002	7	3_1080	12825296	18	0	
16.5797	IE-C005	7	3_1080	13926855	14	0	
16.5836	IE-C002	7	3_1080	13998421	14	0	
18.5292	ES-C005	8	3_1080	13147166	20	0	
18.5422	IE-C003	8	3_1080	10784215	12	0	
18.5422	IE-C001	8	3_1080	11947775	16	0	
18.5526	IE-C004	8	3_1080	11947775	16	0	
18.5592	ES-C003	8	3_1080	19457806	28	0	
18.5596	ES-C004	8	3_1080	19485642	28	0	
18.5646	ES-C006	8	3_1080	19319808	28	0	
18.5726	ES-C001	8	3_1080	19374770	28	0	
18.5766	IE-C006	8	3_1080	9770778	12	0	
18.5786	ES-C002	8	3_1080	13159869	20	0	
18.5797	IE-C005	8	3_1080	12337377	16	0	
18.5836	IE-C002	8	3_1080	12348562	16	0	
20.5292	ES-C005	9	3_1080	12753243	22	0	
20.5422	IE-C003	9	3_1080	9458656	12	0	
20.5422	IE-C001	9	3_1080	12204717	18	0	
20.5526	IE-C004	9	3_1080	12270688	18	0	
20.5592	ES-C003	9	3_1080	19513558	28	0	
20.5596	ES-C004	9	3_1080	19374770	28	0	
20.5646	ES-C006	9	3_1080	19569632	28	0	
20.5726	ES-C001	9	3_1080	19374770	28	0	
20.5766	IE-C006	9	3_1080	9367582	12	0	
20.5786	ES-C002	9	3_1080	12753243	22	0	
20.5797	IE-C005	9	3_1080	11802828	18	0	
