Time	Node	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
2.51423	ES-C003	0	1_480	25860586	6	2009	
2.52418	ES-C001	0	1_480	27433190	6	2007	
2.55623	IE-C003	0	1_480	22431558	6	2009	
2.55702	ES-C005	0	1_480	34701812	6	2008	
2.55962	IE-C006	0	1_480	22682190	6	2004	
2.56123	IE-C005	0	1_480	23200640	6	2009	
2.56262	ES-C006	0	1_480	34701812	6	2004	
2.56662	IE-C004	0	1_480	21596340	6	2004	
2.56862	ES-C004	0	1_480	34701812	6	2004	
2.58862	IE-C002	0	1_480	27067414	6	2004	
2.59662	IE-C001	0	3_1080	13288258	4	2004	
2.60362	ES-C002	0	1_480	34407728	6	2004	
4.51423	ES-C003	1	3_1080	27516088	12	0	
4.52418	ES-C001	1	3_1080	27571790	12	0	
4.55623	IE-C003	1	2_720	16766673	12	0	
4.55702	ES-C005	1	3_1080	27516088	12	0	
4.55962	IE-C006	1	2_720	16766673	12	0	
4.56123	IE-C005	1	3_1080	14788777	12	0	
4.56262	ES-C006	1	3_1080	27740252	12	0	
4.56662	IE-C004	1	2_720	15900081	12	0	
4.56862	ES-C004	1	3_1080	28083430	12	0	
4.58862	IE-C002	1	3_1080	14837107	12	0	
4.59662	IE-C001	1	2_720	32456588	12	0	
4.60362	ES-C002	1	3_1080	30402822	12	0	
6.51423	ES-C003	2	3_1080	26971216	18	0	
6.52418	ES-C001	2	3_1080	26971216	18	0	
6.55623	IE-C003	2	3_1080	19237944	18	0	
6.55702	ES-C005	2	3_1080	26971216	18	0	
6.55962	IE-C006	2	3_1080	19237944	18	0	
6.56123	IE-C005	2	3_1080	33881752	18	0	
6.56262	ES-C006	2	3_1080	26971216	18	0	
6.56662	IE-C004	2	3_1080	19854904	18	0	
6.56862	ES-C004	2	3_1080	26971216	18	0	
6.58862	IE-C002	2	3_1080	33220644	18	0	
6.59662	IE-C001	2	3_1080	34924268	18	0	
6.60362	ES-C002	2	3_1080	26971216	18	0	
8.51423	ES-C003	3	3_1080	27240928	24	0	
8.52418	ES-C001	3	3_1080	27295520	24	0	
8.55623	IE-C003	3	3_1080	26917914	24	0	
8.55702	ES-C005	3	3_1080	27240928	24	0	
8.55962	IE-C006	3	3_1080	26864820	24	0	
8.56123	IE-C005	3	3_1080	34746080	24	0	
8.56262	ES-C006	3	3_1080	27295520	24	0	
8.56662	IE-C004	3	3_1080	27796866	24	0	
8.56862	ES-C004	3	3_1080	27295520	24	0	
8.58862	IE-C002	3	3_1080	34834948	24	0	
8.59662	IE-C001	3	3_1080	35286176	24	0	
