Source,Destination,Bandwidth,v1,v2,v3    
AT-C001,AT-ISP1,4.1Mbps,1,1ms,20000
AT-C001,AT-ISP2,4.8Mbps,1,1ms,20000
AT-C002,AT-ISP2,1.5Mbps,1,1ms,20000
AT-C002,AT-ISP3,4.3Mbps,1,1ms,20000
AT-C003,AT-ISP4,2.9Mbps,1,1ms,20000
AT-C003,AT-ISP3,3.2Mbps,1,1ms,20000
AT-C004,AT-ISP2,3.5Mbps,1,1ms,20000
AT-C004,AT-ISP5,3.9Mbps,1,1ms,20000
AT-C005,AT-ISP2,4.6Mbps,1,1ms,20000
AT-C005,AT-ISP3,3.1Mbps,1,1ms,20000
AT-C006,AT-ISP6,1.5Mbps,1,1ms,20000
AT-C006,AT-ISP5,4.1Mbps,1,1ms,20000
AT-C007,AT-ISP2,4.3Mbps,1,1ms,20000
AT-C007,AT-ISP4,2.9Mbps,1,1ms,20000
AT-C008,AT-ISP4,3.5Mbps,1,1ms,20000
AT-C008,AT-ISP6,4.8Mbps,1,1ms,20000
AT-C009,AT-ISP1,2.2Mbps,1,1ms,20000
AT-C009,AT-ISP2,7.3Mbps,1,1ms,20000
AT-C010,AT-ISP2,5.2Mbps,1,1ms,20000
AT-C010,AT-ISP4,2.7Mbps,1,1ms,20000
AT-C011,AT-ISP4,2.4Mbps,1,1ms,20000
AT-C011,AT-ISP5,3.4Mbps,1,1ms,20000
AT-C012,AT-ISP6,6.0Mbps,1,1ms,20000
AT-C012,AT-ISP3,2.1Mbps,1,1ms,20000
AT-C013,AT-ISP2,4.3Mbps,1,1ms,20000
AT-C013,AT-ISP4,3.5Mbps,1,1ms,20000
AT-C014,AT-ISP3,4.7Mbps,1,1ms,20000
AT-C014,AT-ISP2,5.2Mbps,1,1ms,20000
AT-C015,AT-ISP5,1.5Mbps,1,1ms,20000
AT-C015,AT-ISP6,2.3Mbps,1,1ms,20000
AT-C016,AT-ISP4,2.6Mbps,1,1ms,20000
AT-C016,AT-ISP3,5.6Mbps,1,1ms,20000
BE-C001,BE-ISP5,5.1Mbps,1,1ms,20000
BE-C001,BE-ISP3,4.5Mbps,1,1ms,20000
BE-C002,BE-ISP1,1.5Mbps,1,1ms,20000
BE-C002,BE-ISP6,3.4Mbps,1,1ms,20000
BE-C003,BE-ISP5,3.5Mbps,1,1ms,20000
BE-C003,BE-ISP8,5.9Mbps,1,1ms,20000
BE-C004,BE-ISP4,5.0Mbps,1,1ms,20000
BE-C004,BE-ISP5,3.2Mbps,1,1ms,20000
BE-C005,BE-ISP10,3.8Mbps,1,1ms,20000
BE-C005,BE-ISP9,2.8Mbps,1,1ms,20000
BE-C006,BE-ISP1,3.1Mbps,1,1ms,20000
BE-C006,BE-ISP2,4.6Mbps,1,1ms,20000
BE-C007,BE-ISP9,4.9Mbps,1,1ms,20000
BE-C007,BE-ISP10,4.1Mbps,1,1ms,20000
BE-C008,BE-ISP10,4.1Mbps,1,1ms,20000
BE-C008,BE-ISP8,4.6Mbps,1,1ms,20000
BE-C009,BE-ISP4,2.8Mbps,1,1ms,20000
BE-C009,BE-ISP5,3.8Mbps,1,1ms,20000
BE-C010,BE-ISP1,3.2Mbps,1,1ms,20000
BE-C010,BE-ISP4,5.1Mbps,1,1ms,20000
BE-C011,BE-ISP6,4.1Mbps,1,1ms,20000
BE-C011,BE-ISP5,1.6Mbps,1,1ms,20000
BE-C012,BE-ISP3,2.9Mbps,1,1ms,20000
BE-C012,BE-ISP6,8.5Mbps,1,1ms,20000
CH-C001,CH-ISP1,2.9Mbps,1,1ms,20000
CH-C001,CH-ISP2,4.4Mbps,1,1ms,20000
CH-C002,CH-ISP1,3.6Mbps,1,1ms,20000
CH-C002,CH-ISP2,3.1Mbps,1,1ms,20000
CH-C003,CH-ISP3,7.6Mbps,1,1ms,20000
CH-C003,CH-ISP1,5.9Mbps,1,1ms,20000
CH-C004,CH-ISP4,2.9Mbps,1,1ms,20000
CH-C004,CH-ISP1,5.8Mbps,1,1ms,20000
CH-C005,CH-ISP1,5.5Mbps,1,1ms,20000
CH-C005,CH-ISP3,5.3Mbps,1,1ms,20000
CH-C006,CH-ISP3,4.5Mbps,1,1ms,20000
CH-C006,CH-ISP2,4.1Mbps,1,1ms,20000
CH-C007,CH-ISP4,3.6Mbps,1,1ms,20000
CH-C007,CH-ISP2,3.0Mbps,1,1ms,20000
CH-C008,CH-ISP2,1.5Mbps,1,1ms,20000
CH-C008,CH-ISP3,3.7Mbps,1,1ms,20000
CH-C009,CH-ISP1,4.3Mbps,1,1ms,20000
CH-C009,CH-ISP3,6.7Mbps,1,1ms,20000
CH-C010,CH-ISP3,5.6Mbps,1,1ms,20000
CH-C010,CH-ISP1,7.8Mbps,1,1ms,20000
CH-C011,CH-ISP3,6.2Mbps,1,1ms,20000
CH-C011,CH-ISP2,3.3Mbps,1,1ms,20000
CH-C012,CH-ISP4,4.2Mbps,1,1ms,20000
CH-C012,CH-ISP3,5.7Mbps,1,1ms,20000
CH-C013,CH-ISP4,3.9Mbps,1,1ms,20000
CH-C013,CH-ISP2,4.6Mbps,1,1ms,20000
CH-C014,CH-ISP1,1.5Mbps,1,1ms,20000
CH-C014,CH-ISP2,1.5Mbps,1,1ms,20000
CH-C015,CH-ISP2,5.1Mbps,1,1ms,20000
CH-C015,CH-ISP4,7.3Mbps,1,1ms,20000
CH-C016,CH-ISP3,5.2Mbps,1,1ms,20000
CH-C016,CH-ISP1,3.1Mbps,1,1ms,20000
CH-C017,CH-ISP1,3.9Mbps,1,1ms,20000
CH-C017,CH-ISP2,5.1Mbps,1,1ms,20000
CH-C018,CH-ISP2,2.4Mbps,1,1ms,20000
CH-C018,CH-ISP4,5.9Mbps,1,1ms,20000
DE-C001,DE-ISP3,2.4Mbps,1,1ms,20000
DE-C001,DE-ISP4,4.8Mbps,1,1ms,20000
DE-C002,DE-ISP1,5.2Mbps,1,1ms,20000
DE-C002,DE-ISP3,4.4Mbps,1,1ms,20000
DE-C003,DE-ISP3,1.7Mbps,1,1ms,20000
DE-C003,DE-ISP1,4.7Mbps,1,1ms,20000
DE-C004,DE-ISP1,3.4Mbps,1,1ms,20000
DE-C004,DE-ISP4,3.9Mbps,1,1ms,20000
DE-C005,DE-ISP1,5.8Mbps,1,1ms,20000
DE-C005,DE-ISP2,4.4Mbps,1,1ms,20000
DE-C006,DE-ISP4,4.7Mbps,1,1ms,20000
DE-C006,DE-ISP1,3.7Mbps,1,1ms,20000
DE-C007,DE-ISP4,6.5Mbps,1,1ms,20000
DE-C007,DE-ISP2,3.8Mbps,1,1ms,20000
DE-C008,DE-ISP2,4.3Mbps,1,1ms,20000
DE-C008,DE-ISP4,4.5Mbps,1,1ms,20000
DE-C009,DE-ISP2,3.0Mbps,1,1ms,20000
DE-C009,DE-ISP4,4.0Mbps,1,1ms,20000
DE-C010,DE-ISP1,3.1Mbps,1,1ms,20000
DE-C010,DE-ISP3,5.7Mbps,1,1ms,20000
DE-C011,DE-ISP2,3.3Mbps,1,1ms,20000
DE-C011,DE-ISP1,1.5Mbps,1,1ms,20000
DE-C012,DE-ISP3,3.7Mbps,1,1ms,20000
DE-C012,DE-ISP1,3.5Mbps,1,1ms,20000
DE-C013,DE-ISP1,3.7Mbps,1,1ms,20000
DE-C013,DE-ISP4,4.6Mbps,1,1ms,20000
DK-C001,DK-ISP5,4.7Mbps,1,1ms,20000
DK-C001,DK-ISP1,5.4Mbps,1,1ms,20000
DK-C002,DK-ISP5,2.7Mbps,1,1ms,20000
DK-C002,DK-ISP2,2.6Mbps,1,1ms,20000
DK-C003,DK-ISP3,1.7Mbps,1,1ms,20000
DK-C003,DK-ISP4,1.5Mbps,1,1ms,20000
